	('e_coli.fa.gz', 'e_coli_BW25113.fa')	('e_coli.fa.gz', 'Pichia_sorbitophila.fa')	('e_coli_BW25113.fa', 'Pichia_sorbitophila.fa')	entropies
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101001001000100100010110010110001000110000101000000011	0	0	0	2.637932321421154
000010101010000000110101000001100001010010100111000101001000	0	0	0	2.7042144391108893
000010101010100101000100100001001001010010000010000101011010	0	0	0	2.4346040649608396
000011000100011100010010000001111000100001000000001001001111	0	0	0	2.5761242501129336
000011000100101100000000000110011111000100000001100001110001	0	0	0	2.6072494709525356
000011001010000000010101011000001110100011001000101000000101	0	0	0	2.719892751007989
000011001100110000000101010000011011010010110000001100000001	0	0	0	2.6358369077566857
000011001101000111110000001000010000011011000000010011001000	0	0	0	2.728646891038306
000011010010011001001010001001000010011001000100110000100010	0	0	0	2.565609266398687
000011010010100010000100100110010010010100100100100001001010	0	0	0	2.4603918623854364
000011010010101001100001100100100100010010000101000010010010	0	0	0	2.574061421496498
000011010101000110010000010001000010010101000000101010001011	0	0	0	2.5840128859421037
000011100001101100000000000011001110001101101100001100000000	0	0	0	2.4291014688156713
000011101000000000110001010100001000100010001110100111001000	0	0	0	2.7831040547636774
